Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 19:20:32.142019,Rupali Square,78,78,58.9
2025-04-09 19:20:32.144019,CRP Square,46,66,23.48
2025-04-09 19:20:42.146715,Jaydev Vihar,15,45,16.55
2025-04-09 19:20:42.148441,Rupali Square,144,55,89.19
2025-04-09 19:20:42.149446,CRP Square,124,52,87.21
2025-04-09 19:20:52.151069,Jaydev Vihar,90,72,93.75
2025-04-09 19:20:52.153123,Rupali Square,51,59,69.14
2025-04-09 19:20:52.153123,CRP Square,19,25,16.57
2025-04-09 19:21:02.155972,Jaydev Vihar,96,72,139.97
2025-04-09 19:21:02.155972,Rupali Square,138,22,91.81
2025-04-09 19:21:02.155972,CRP Square,52,33,74.49
2025-04-09 19:21:12.160281,Jaydev Vihar,91,69,50.0
2025-04-09 19:21:12.161508,Rupali Square,89,80,46.53
2025-04-09 19:21:12.162611,CRP Square,37,80,25.71
2025-04-09 19:21:22.164058,Jaydev Vihar,103,57,131.23
2025-04-09 19:21:22.165076,Rupali Square,148,55,156.31
2025-04-09 19:21:22.166076,CRP Square,43,53,41.73
2025-04-09 19:21:32.168292,Jaydev Vihar,95,66,61.17
2025-04-09 19:21:32.169833,Rupali Square,32,39,21.95
2025-04-09 19:21:32.170833,CRP Square,32,71,18.17
2025-04-09 19:21:42.172741,Jaydev Vihar,30,69,45.82
2025-04-09 19:21:42.174262,Rupali Square,150,37,237.63
2025-04-09 19:21:42.175562,CRP Square,135,69,131.38
2025-04-09 19:21:52.177115,Jaydev Vihar,87,79,51.58
2025-04-09 19:21:52.178432,Rupali Square,48,79,48.65
2025-04-09 19:21:52.179921,CRP Square,127,30,154.06
2025-04-09 19:22:02.181316,Jaydev Vihar,13,66,21.49
2025-04-09 19:22:02.181316,Rupali Square,111,34,56.4
2025-04-09 19:22:02.181316,CRP Square,79,61,42.48
2025-04-09 19:22:12.187915,Jaydev Vihar,33,47,18.86
2025-04-09 19:22:12.189305,Rupali Square,146,50,112.41
2025-04-09 19:22:12.190807,CRP Square,76,72,59.4
2025-04-09 19:22:22.192645,Jaydev Vihar,68,43,49.82
2025-04-09 19:22:22.196659,Rupali Square,26,45,25.71
2025-04-09 19:22:22.197663,CRP Square,26,54,18.83
2025-04-09 19:22:32.200423,Jaydev Vihar,29,51,19.03
2025-04-09 19:22:32.200423,Rupali Square,89,34,46.91
2025-04-09 19:22:32.200423,CRP Square,16,75,28.43
2025-04-09 19:22:42.204327,Jaydev Vihar,128,50,254.85
2025-04-09 19:22:42.206124,Rupali Square,49,44,25.46
2025-04-09 19:22:42.207201,CRP Square,25,75,18.99
2025-04-09 19:22:52.208885,Jaydev Vihar,94,67,78.77
2025-04-09 19:22:52.220843,Rupali Square,49,51,31.69
2025-04-09 19:22:52.220843,CRP Square,95,47,154.91
2025-04-09 19:23:02.226684,Jaydev Vihar,101,28,85.31
2025-04-09 19:23:02.227686,Rupali Square,64,44,79.09
2025-04-09 19:23:02.230687,CRP Square,100,37,61.25
2025-04-09 19:23:12.236152,Jaydev Vihar,57,57,40.08
2025-04-09 19:23:12.237800,Rupali Square,33,47,21.51
2025-04-09 19:23:12.239885,CRP Square,144,25,238.73
2025-04-09 19:23:22.242013,Jaydev Vihar,105,32,60.46
2025-04-09 19:23:22.242013,Rupali Square,106,78,95.92
2025-04-09 19:23:22.242013,CRP Square,80,70,42.66
2025-04-09 19:23:32.252296,Jaydev Vihar,99,48,59.19
2025-04-09 19:23:32.253325,Rupali Square,57,52,38.85
2025-04-09 19:23:32.255318,CRP Square,110,26,56.03
2025-04-09 19:23:42.257109,Jaydev Vihar,37,55,25.21
2025-04-09 19:23:42.257109,Rupali Square,139,62,98.26
2025-04-09 19:23:42.257109,CRP Square,115,45,120.74
2025-04-09 19:23:52.260295,Jaydev Vihar,15,45,12.28
2025-04-09 19:23:52.262157,Rupali Square,114,66,61.13
2025-04-09 19:23:52.263539,CRP Square,37,60,55.97
2025-04-09 19:24:02.265415,Jaydev Vihar,99,48,71.9
2025-04-09 19:24:02.265918,Rupali Square,16,71,8.36
2025-04-09 19:24:02.267920,CRP Square,25,46,28.69
2025-04-09 19:24:12.269404,Jaydev Vihar,70,50,50.15
2025-04-09 19:24:12.269404,Rupali Square,54,32,54.53
2025-04-09 19:24:12.272039,CRP Square,11,59,5.85
2025-04-09 19:24:22.274295,Jaydev Vihar,73,30,88.41
2025-04-09 19:24:22.274295,Rupali Square,70,37,37.06
2025-04-09 19:24:22.274295,CRP Square,125,28,218.41
2025-04-09 19:24:32.279250,Jaydev Vihar,58,43,52.16
2025-04-09 19:24:32.280772,Rupali Square,111,64,85.12
2025-04-09 19:24:32.281775,CRP Square,138,65,86.7
2025-04-09 19:24:42.283627,Jaydev Vihar,71,51,63.92
2025-04-09 19:24:42.284631,Rupali Square,64,79,33.88
2025-04-09 19:24:42.286139,CRP Square,115,58,83.9
2025-04-09 19:24:52.288036,Jaydev Vihar,130,58,149.72
2025-04-09 19:24:52.288036,Rupali Square,64,67,47.61
2025-04-09 19:24:52.288036,CRP Square,125,30,67.72
2025-04-09 19:25:02.293032,Jaydev Vihar,95,39,57.99
2025-04-09 19:25:02.293032,Rupali Square,148,49,96.81
2025-04-09 19:25:02.293032,CRP Square,49,22,32.49
2025-04-09 19:25:12.297917,Jaydev Vihar,108,58,65.66
2025-04-09 19:25:12.298925,Rupali Square,118,66,229.43
2025-04-09 19:25:12.300935,CRP Square,89,31,46.95
2025-04-09 19:25:22.302819,Jaydev Vihar,140,52,112.94
2025-04-09 19:25:22.303967,Rupali Square,33,58,57.52
2025-04-09 19:25:22.305736,CRP Square,39,76,57.42
2025-04-09 19:25:32.306893,Jaydev Vihar,150,23,149.25
2025-04-09 19:25:32.308231,Rupali Square,136,28,266.38
2025-04-09 19:25:32.310233,CRP Square,104,73,74.98
